STATION,DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP,VISIB,WDSP
72434013994,1/22/00,25.6,101000,999.9,37.9,30.2,13,0,1015.9,999.9,999.9,33.9,8.1,6.8
72434013994,1/23/00,25.8,101000,21,37.9,23,15,0.01,1019.2,999.9,999.9,29.3,6.3,4.8
72434013994,1/24/00,10.7,101000,999.9,32,9,15,0.01,1026.2,999.9,999.9,19.3,9.5,5.1
72434013994,1/25/00,16,1000,32.1,32,10.9,21,0,1021.1,999.9,999.9,25.4,9.6,10.7
72434013994,1/26/00,9.3,1000,999.9,28.9,10.9,14,0,1026.9,999.9,999.9,19.7,9.7,7.8
72434013994,1/27/00,10.9,0,16.9,30.9,10,13,0,1033.5,999.9,999.9,19.2,9.9,7.3
72434013994,1/28/00,10.9,1000,999.9,30.9,10,13,0,1034.9,999.9,999.9,21.9,9.8,9.8
72434013994,1/29/00,22.1,101000,999.9,28,18,13,0.02,1029.4,5.1,999.9,24.4,4.2,6.6
72434013994,1/30/00,22.9,101000,20,27,19.9,15.9,0.24,1024.6,3.9,999.9,23.6,5.2,9.1
72434013994,1/31/00,20.5,101000,20,34,16,15,0.02,1024.2,3.1,999.9,24.5,8.4,10.4
72434013994,2/1/00,24.7,100000,22.9,34,16,17.1,0,1024.9,3.1,999.9,28.7,8.1,8.7
72434013994,2/2/00,21.1,100000,999.9,42.1,12.9,11.1,0,1030.3,3.1,999.9,25.3,8.2,4.8
72434013994,2/3/00,32.6,0,23.9,48,35.1,15.9,0,1015.4,1.2,999.9,40.2,9.4,11.1
72434013994,2/4/00,26.8,101000,23.9,48.9,26.1,20,0,1021.3,2,999.9,31.6,9,12.4
72434013994,2/5/00,25.6,101000,999.9,41,25,11.1,0,1030.9,999.9,999.9,31.8,9.7,7.2
72434013994,2/6/00,28,0,18.1,51.1,26.1,12,0,1028,999.9,999.9,36.3,9.8,5
72434013994,2/7/00,32.9,0,999.9,51.1,26.2,11.1,0,1024.4,999.9,999.9,40.4,8.8,6.8
72434013994,2/8/00,30,100000,999.9,48.9,26.1,8.9,0,1029.3,999.9,999.9,33.9,4.3,5.8
72434013994,2/9/00,32.5,0,999.9,70,26.2,11.1,0,1019.2,999.9,999.9,48.4,9,7.2
72434013994,2/10/00,46.2,10000,22.9,70,50,14,0,1006.2,999.9,999.9,58,9.8,8.2
72434013994,2/11/00,30.6,101000,20,55.9,30.9,15.9,0,1015.5,999.9,999.9,36.4,6.8,11.3
72434013994,2/12/00,26.9,1000,999.9,46,28,10.1,0,1021.2,999.9,999.9,34.3,9.6,6.4
72434013994,2/13/00,37.1,110000,20,46,29.1,13,0,1011.1,999.9,999.9,40.5,5.5,8.1
72434013994,2/14/00,33.8,110000,999.9,39.9,33.1,11.1,0.18,1014.6,999.9,999.9,35.6,5,8.2
72434013994,2/15/00,32,100000,27,60.1,28,20,0,1018,999.9,999.9,39.4,6.5,9.7
72434013994,2/16/00,31.6,100000,999.9,60.1,28.2,15,0,1022.6,999.9,999.9,40.8,8.2,8.2
72434013994,2/17/00,26.4,111000,999.9,50,28,14,0,1028.8,999.9,999.9,32.3,7.8,9.7
72434013994,2/18/00,36.6,110010,21,41,33.1,18.1,2.58,1013.7,999.9,999.9,36.8,3.7,10
72434013994,2/19/00,29.3,11000,21,36,30.2,14,0.02,1025.9,999.9,999.9,32.8,9.7,9.2
72434013994,2/20/00,29.7,100000,15.9,51.1,27,10.1,0,1031,999.9,999.9,37.8,8.4,6.5
72434013994,2/21/00,32.2,0,19,57,29.1,13,0,1027.9,999.9,999.9,43.7,9.9,7.1
72434013994,2/22/00,41.2,0,999.9,72,32,15,0,1019.9,999.9,999.9,57.5,9.9,8.6
72434013994,2/23/00,43.6,10000,26,72,51.1,18.1,0,1016.7,999.9,999.9,60,9.8,12.8
72434013994,2/24/00,51.5,10000,25.1,80.1,57,21,0,1012.6,999.9,999.9,65.8,9.8,13.5
